stname,ctyname,aa_change,rtd_change,hisp_change,white_change
Kentucky,Casey County,0.0018429011000000006,3.3089354,0.004897908999999999,-0.00863773000000001
North Dakota,Cass County,0.04495778229999997,9.22071029,0.08932243699999998,-0.12881023999999996
Idaho,Cassia County,0.0022300561,1.0057916999999996,0.022342139999999983,-0.010448159999999929
Texas,Castro County,0.0034059120000000005,0.5157512,0.04209417000000004,-0.01032626999999997
North Carolina,Caswell County,-0.011625710000000011,0.3182880600000001,0.006646364999999994,0.0028365799999999775
Louisiana,Catahoula Parish,-0.008529640000000005,0.5303528000000002,0.0084763032,0.0016221399999999386
North Carolina,Catawba County,0.003256059999999991,0.6019667000000002,0.010454251999999997,-0.01383828999999992
Georgia,Catoosa County,0.004636673000000001,1.3518683999999999,0.006438263,-0.009181440000000096
New Mexico,Catron County,0.0039480184,1.3231497,-0.003581730000000005,-0.017466670000000017
New York,Cattaraugus County,0.0014168080000000003,0.8314475000000001,0.004217571,-0.01055366000000002
North Dakota,Cavalier County,0.0031823473,1.6379370000000002,0.009156845599999998,-0.017065589999999964
New York,Cayuga County,0.0012395489999999995,0.44475467,0.004798570000000002,-0.007398189999999971
Maryland,Cecil County,0.006133883999999992,0.7644612000000002,0.009284422,-0.013363420000000015
